,artist,gender,category,retrieved,genre
312,Al Cisneros,male,American_male_guitarists,Al Cisneros,[]
313,Al Clauser,male,American_male_guitarists,Al Clauser and His Oklahoma Outlaws and Cast,[]
314,Al Corley,male,American_male_singers,Al Corley,[]
315,Al Denson,male,American_male_singers,Al Denson,[]
316,Al Dexter,male,American_country_singers,Al Dexter,"['cowboy western', 'western swing']"
317,Al Di Meola,male,American_male_guitarists,Al Di Meola,"['flamenco guitar', 'jazz fusion', 'jazz guitar']"
318,Al Doughty,male,Male_guitarists,none,none
319,Al Downing,male,African-American_male_singers,Big Al Downing,['traditional rockabilly']
320,Al Gorgoni,male,American_male_guitarists,Al Gorgoni,[]
321,Al Green,male,American_male_guitarists,Al Green,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
322,Al Hibbler,male,American_male_singers,Al Hibbler,[]
323,Al Hodge,male,English_male_singers,Almoth Hodges,[]
324,Al Hunter,male,Male_songwriters,Alberta Hunter,[]
325,Al Hurricane,male,American_country_singers,Al Hurricane,['new mexico music']
326,Al Jardine,male,American_male_guitarists,Al Jardine,[]
327,Al Johnson,male,American_male_singers,Allana Johnson,['background music']
328,Al Jolson,male,American_male_singers,Al Jolson,"['big band', 'tin pan alley', 'vintage jazz']"
329,Al Jones,male,English_male_singers,Alisa Jones,"['hammered dulcimer', 'instrumental bluegrass', 'string folk']"
330,Al Jourgensen,male,American_male_singers,Al Jourgensen,[]
331,Al Kapone,male,African-American_male_rappers,Al Kapone,['memphis hip hop']
332,Al Lewis,male,Welsh_male_singers,Alexander Lewis,"['bass trap', 'electronic trap', 'traprun']"
333,Al Martino,male,American_male_singers,Al Martino,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
334,Al Matthews,male,African-American_male_singers,Al Matthews,[]
335,Al McKay,male,American_male_guitarists,Al McKay Allstars,[]
336,Al Pearce,male,American_male_guitarists,Alexis Pearce,[]
337,Al Perkins,male,American_male_guitarists,Alison Perkins,[]
338,Al Petteway,male,American_male_guitarists,Al Petteway,['fingerstyle']
339,Al Pitrelli,male,American_male_guitarists,Al Pitrelli,[]
340,Al Rogers,male,American_country_singers,Alexis Rogers,[]
341,Al Schnier,male,American_male_guitarists,Al Schnier,[]
342,Al Stewart,male,English_male_singers,Al Stewart,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']"
343,Al Tuck,male,Canadian_male_singers,Alden Tucker,[]
344,Al Viola,male,American_male_guitarists,Al Viola,['jazz guitar']
345,Al Wilson,male,American_male_singers,Al Wilson,"['classic soul', 'motown', 'northern soul']"
346,Alain Barrière,male,French_male_singers,Alain Barrière,"['chanson', 'ye ye']"
347,Alain Bashung,male,French_male_singers,Alain Bashung,"['chanson', 'french indie pop', 'french rock', 'nouvelle chanson francaise']"
348,Alain Chamfort,male,French_male_singers,Alain Chamfort,"['chanson', 'classic french pop']"
349,Alain Johannes,male,American_male_guitarists,Alain Johannes,['palm desert scene']
350,Alain Lanty,male,French_male_singers,none,none
351,Alaina Reed Hall,female,African-American_female_singers,none,none
352,Alaine Rodin,female,American_female_singers,none,none
353,Alan Banks,male,Male_guitarists,Alan Banks,[]
354,Alan Barton,male,English_male_singers,Alan Barton,[]
355,Alan Bishop,male,American_male_guitarists,Alan Bishop,[]
