,artist,gender,retrieved,genre
11385,Ledisi,female,https://en.wikipedia.org/wiki/Ledisi,"['r&b', 'soul', 'jazz', 'pop', 'neo soul', 'gospel']"
11386,Kimberley Dahme,female,https://en.wikipedia.org/wiki/Kimberley_Dahme,"['country music', ' rock music']"
11387,Mark White,male,https://en.wikipedia.org/wiki/Mark_White_(musician),"['new wave', 'synth-pop', 'pop rock', 'sophisti-pop', 'blue-eyed soul', 'house']"
11388,Puma Jones,female,https://en.wikipedia.org/wiki/Puma_Jones,['reggae']
11389,Kyle Alandy Amor,male,none,none
11390,Duncan McGuire,male,none,none
11391,Damond Jiniya,male,https://en.wikipedia.org/wiki/Damond_Jiniya,"['rock', 'hard rock']"
11392,Steve Jones,male,https://en.wikipedia.org/wiki/Steve_Jones_(musician),"['punk rock', 'heavy metal', 'rock music']"
11393,Thom Schuyler,male,https://en.wikipedia.org/wiki/Thom_Schuyler,['country']
11394,Jeff Hardy,male,https://en.wikipedia.org/wiki/Jeff_Hardy,"['alternative rock', 'alternative metal', 'indie', 'acoustic']"
11395,Oliver Mann,male,none,none
11396,Peter Pringle,male,https://en.wikipedia.org/wiki/Peter_Pringle,"['pop', 'jazz', 'classical']"
11397,Dollar Bill,male,none,none
11398,Porcelain Black,female,https://en.wikipedia.org/wiki/Porcelain_Black,"['dance-pop', 'pop rock', 'idm', 'industrial', 'industrial metal', 'brostep']"
11399,Honor Blackman,female,none,none
11400,Nadine Shah,female,https://en.wikipedia.org/wiki/Nadine_Shah,"['indie rock', 'jazz', 'post-punk', 'folk rock']"
11401,Norbert Kraft,male,none,none
11402,Kinky Friedman,male,none,none
11403,Reverend Oris Mays,male,none,none
11404,Erin Hamilton,female,https://en.wikipedia.org/wiki/Erin_Hamilton,"['dance', 'house']"
11405,Kwayzar,male,none,none
11406,Andrew F,male,https://en.wikipedia.org/wiki/Andrew_F,['pop rock']
11407,Grandmaster Caz,male,https://en.wikipedia.org/wiki/Grandmaster_Caz,['hip hop']
11408,Bobby Cochran,male,https://en.wikipedia.org/wiki/Bobby_Cochran,"['rock', 'rockabilly', 'classic rock', 'blues', 'surf', 'acoustic', 'fingerstyle']"
11409,Pete Cummins,male,https://en.wikipedia.org/wiki/Pete_Cummins,"['folk', 'rock']"
11410,Example,male,https://en.wikipedia.org/wiki/Example_(musician),"['rave-hop', 'hip hop', 'eurodance', 'edm']"
11411,Michael Johns,male,https://en.wikipedia.org/wiki/Michael_Johns_(singer),"['pop', 'pop rock', 'soul', 'soft rock', 'rock']"
11412,David Ellefson,male,https://en.wikipedia.org/wiki/David_Ellefson,"['heavy metal', 'thrash metal', 'speed metal', 'power metal', 'hard rock']"
11413,Evelyn Dall,female,none,none
11414,Barbara Martin,female,https://en.wikipedia.org/wiki/Barbara_Martin_(singer),"['r&b', 'pop']"
11415,Lil' Wil,male,https://en.wikipedia.org/wiki/Lil'_Wil,['hip hop']
11416,Richie Havens,male,https://en.wikipedia.org/wiki/Richie_Havens,"['folk rock', 'funk', 'blues', 'soul']"
11417,Meg Hutchinson,female,https://en.wikipedia.org/wiki/Meg_Hutchinson,['folk']
11418,David Broza,male,https://en.wikipedia.org/wiki/David_Broza,"['pop rock', 'rock', 'folk rock', 'blues']"
11419,Wayne Brady,male,none,none
