Id,Label,timeset,frequency,type,modularity_class,pageranks,eigencentrality
Jens_Becker,Jens_Becker,,2,Source,31,0.000026,0.002334
Billy_Sawilchik,Billy_Sawilchik,,3,Source,149,0.000035,0.006362
Chamillionaire,Chamillionaire,,2,Source,90,0.000034,0.00494
Arthur_Crudup,Arthur_Crudup,,3,Source,47,0.000042,0.005443
Duncan_Campbell,Duncan_Campbell,,4,Source,50,0.00005,0.005009
Nicole_Millar,Nicole_Millar,,2,Source,62,0.000028,0.002088
Gienek_Loska,Gienek_Loska,,3,Source,9,0.000038,0.013572
Anna_McGarrigle,Anna_McGarrigle,,1,Source,10,0.00002,0.004547
Jessica_Ashley,Jessica_Ashley,,3,Source,62,0.000039,0.017838
Neal_McCoy,Neal_McCoy,,1,Source,143,0.000023,0.006931
pop_standards,pop_standards,,8,; Target,47,0.00011,0.001645
Indiana_Gregg,Indiana_Gregg,,2,Source,62,0.000031,0.012007
Ralph_White,Ralph_White,,5,Source,143,0.000066,0.015757
Phil_Manning,Phil_Manning,,2,Source,9,0.000028,0.005312
Belinda_Chapple,Belinda_Chapple,,1,Source,62,0.000019,0.000908
opera_pop,opera_pop,,24,; Target,50,0.000286,0.004484
Audra_Mae,Audra_Mae,,3,Source,62,0.000037,0.007152
Rittz,Rittz,,1,Source,90,0.000022,0.004706
